Date,Open,High,Low,Close,Adj Close,Volume
12/7/2016,84.050003,84.800003,83.559998,84.349998,75.027161,5138900
12/8/2016,84.440002,84.760002,83.800003,84.470001,75.133896,4848400
12/9/2016,84.870003,84.980003,83.940002,84.779999,75.409637,4829000
12/12/2016,86.089996,86.82,84.669998,85.010002,75.614227,8233600
12/13/2016,85.730003,86.730003,85.050003,86.129997,76.610413,6273400
12/14/2016,85.529999,86.459999,84.809998,85.160004,75.747635,5858700
12/15/2016,84.5,85.699997,84.300003,85.279999,75.854362,6171000
12/16/2016,85.5,85.550003,84.980003,85.5,76.050064,9524800
12/19/2016,85.400002,85.699997,84.970001,85.120003,75.712051,3155900
12/20/2016,85.610001,85.879997,85.029999,85.279999,75.854362,5185600
12/21/2016,85.57,86.260002,85.059998,86.160004,76.637115,4825200
12/22/2016,85.790001,87,85.589996,86.379997,76.832787,3991700
12/23/2016,86.029999,86.269997,85.230003,85.510002,76.058937,2894200
12/27/2016,85.800003,85.949997,85.230003,85.440002,75.996681,2634200
12/28/2016,85.279999,85.480003,84.410004,84.629997,75.276199,4222700
12/29/2016,84.260002,84.849998,83.790001,84.199997,74.893738,3535400
12/30/2016,84.300003,84.5,83.660004,83.949997,74.671371,4149700
1/3/2017,84.860001,85.110001,83.709999,84.800003,75.427422,6667100
1/4/2017,85,85.709999,84.540001,85.43,75.987778,4655400
1/5/2017,85.580002,85.870003,85.190002,85.300003,75.872162,4543000
1/6/2017,85.480003,86.830002,84.839996,86.480003,76.921745,5689900
1/9/2017,85.989998,86.400002,85.43,85.769997,76.290199,4336500
1/10/2017,85.690002,85.709999,84.580002,84.599998,75.249527,4306200
1/11/2017,84.989998,85.809998,84.620003,85.660004,76.192368,4149600
1/12/2017,85.690002,85.699997,84.650002,85.330002,75.898842,4286500
1/13/2017,84.949997,85.739998,84.779999,84.82,75.445198,5117000
1/17/2017,84.809998,86.529999,84.800003,86.43,76.877274,5795300
1/18/2017,85.790001,87.540001,85.790001,87.480003,77.811218,8744900
1/19/2017,87.050003,87.839996,86.910004,87.199997,77.562157,7261400
1/20/2017,87.120003,87.779999,85.57,86.489998,76.930634,10368600
1/23/2017,85.849998,85.93,83.900002,84.269997,74.956001,6870200
1/24/2017,84.389999,84.900002,83.800003,84.580002,75.231728,6027400
1/25/2017,85.080002,85.690002,84.650002,85.510002,76.058937,5939500
1/26/2017,85.93,86.050003,84.43,84.879997,75.498581,5623600
1/27/2017,84.860001,85.190002,84.309998,84.5,75.160576,4758200
1/30/2017,84.169998,84.470001,83.199997,83.610001,74.368958,5550700
1/31/2017,83.900002,84.25,83.110001,83.709999,74.457909,4567900
2/1/2017,84.059998,84.440002,82.699997,83.169998,73.977585,5193600
2/2/2017,83.599998,83.610001,81.57,82.440002,73.328278,8857700
2/3/2017,82.639999,83.209999,82.389999,82.5,73.38163,5084000
2/6/2017,82.550003,82.970001,81.459999,81.690002,72.661156,5958000
2/7/2017,81.209999,81.739998,80.489998,81.07,72.10968,5841700
2/8/2017,80.610001,81.190002,79.519997,81.120003,72.15416,5366400
2/9/2017,81.120003,81.760002,81.120003,81.209999,72.234207,6119000
2/10/2017,81.980003,82.709999,81.849998,82.160004,73.079216,6199900
2/13/2017,81.75,82.129997,81.489998,81.82,73.222404,4135800
2/14/2017,82.040001,82.5,81.540001,82.459999,73.795143,4672300
2/15/2017,82,82.370003,81.620003,81.75,73.15976,4947600
2/16/2017,82.129997,82.169998,81,81.129997,72.604897,5097900
2/17/2017,80.949997,81.120003,80.540001,80.650002,72.175346,4345600
2/21/2017,81.480003,81.550003,80.599998,80.68,72.202194,4746100
2/22/2017,80.379997,80.540001,79.660004,79.699997,71.325157,5905400
2/23/2017,80.470001,80.709999,79.879997,80.470001,72.014259,5754100
2/24/2017,79.660004,80.400002,79.480003,80.150002,71.727882,5464100
2/27/2017,80.230003,81.82,80.160004,81.059998,72.542252,8033000
2/28/2017,80.860001,80.860001,80,80.360001,71.91581,7842000
3/1/2017,80.910004,82.690002,80.599998,82.269997,73.625107,6692400
3/2/2017,81.639999,82.160004,80.82,80.949997,72.443825,5104500
3/3/2017,81.220001,81.580002,80.650002,80.699997,72.22007,3357000
3/6/2017,80.339996,80.889999,80.029999,80.720001,72.237984,5524600
3/7/2017,80.690002,80.769997,79.739998,79.949997,71.548904,5807400
3/8/2017,79.540001,79.919998,77.910004,78.099998,69.893295,10152900
3/9/2017,77.519997,78.940002,77.279999,78.699997,70.430244,9411800
3/10/2017,79.360001,79.400002,78.449997,78.690002,70.421303,5633400
3/13/2017,78.830002,79.129997,78.080002,78.589996,70.331818,6708900
3/14/2017,78.019997,78.550003,77.300003,78.379997,70.143867,6541800
3/15/2017,79,80.589996,78.910004,80.25,71.81739,7968100
3/16/2017,80.279999,80.480003,79.260002,79.650002,71.280426,6196400
3/17/2017,79.650002,80.260002,79.489998,79.550003,71.190933,8645700
3/20/2017,79.07,79.07,78.160004,78.919998,70.627121,7318900
3/21/2017,79.529999,79.650002,78.57,78.690002,70.421303,6210500
3/22/2017,78.349998,78.620003,77.75,78.379997,70.143867,5341500
3/23/2017,78.110001,78.449997,77.559998,77.669998,69.508476,5804100
3/24/2017,77.760002,77.940002,76.769997,76.959999,68.873085,9805900
3/27/2017,76.209999,77.18,76.139999,77.019997,68.926773,6435100
3/28/2017,77.400002,78.589996,76.940002,78.309998,70.08123,7274600
3/29/2017,78.209999,78.959999,77.580002,78.669998,70.403389,4403000
3/30/2017,78.730003,78.870003,77.559998,77.839996,69.660614,5585100
3/31/2017,77.550003,78.370003,77.330002,78.099998,69.893295,5858500
4/3/2017,78.300003,78.330002,77.129997,77.699997,69.535316,6994700
4/4/2017,77.709999,78.379997,77.220001,78.209999,69.991745,4687800
4/5/2017,78.660004,79.480003,78.260002,78.300003,70.072281,5290600
4/6/2017,78.699997,78.93,78.360001,78.620003,70.358658,5128500
4/7/2017,78.730003,78.870003,78.150002,78.330002,70.099129,4265200
4/10/2017,78.669998,78.949997,78.400002,78.709999,70.439194,3339900
4/11/2017,78.709999,79.709999,78.080002,79.650002,71.280426,6722200
4/12/2017,79.730003,80.889999,79.25,79.57,71.208832,6024200
4/13/2017,79.330002,79.400002,77.959999,78.150002,69.938042,5030200
4/17/2017,77.82,78.419998,77.790001,78.239998,70.018585,5559300
4/18/2017,77.769997,78.589996,77.669998,77.93,69.741165,4078800
4/19/2017,78.290001,78.480003,76.160004,76.480003,68.443535,8138400
4/20/2017,76.489998,77.339996,76.129997,76.510002,68.470383,8053900
4/21/2017,73.970001,75.160004,73.150002,74.839996,66.975853,14539700
4/24/2017,75,75.099998,73.940002,74.099998,66.313614,8461800
4/25/2017,74.220001,74.330002,73.769997,74.089996,66.304649,9066400
4/26/2017,73.75,74.910004,73.730003,74.110001,66.322571,6064800
4/27/2017,73.849998,73.93,72.099998,72.839996,65.186005,10844900
4/28/2017,73.400002,73.459999,72.470001,72.589996,64.96228,7214400
5/1/2017,72.699997,73.089996,72.139999,72.300003,64.702759,6909400
5/2/2017,72.339996,72.400002,70.970001,71.449997,63.942062,9142000
5/3/2017,71.410004,71.949997,70.970001,71.529999,64.01368,7843600
5/4/2017,71.160004,71.25,70.220001,70.940002,63.485664,12175200
5/5/2017,71.040001,72.199997,70.900002,71.970001,64.407433,11115400
5/8/2017,72.290001,72.959999,72.029999,72.220001,64.631165,8160500
5/9/2017,72.339996,72.599998,71.889999,72.279999,64.68486,6631900
5/10/2017,72.839996,73.199997,72.349998,72.669998,65.033882,7021200
5/11/2017,73.040001,73.080002,71.650002,71.779999,64.237389,7380200
5/12/2017,71.739998,71.809998,70.779999,71.019997,63.557247,7308500
5/15/2017,72.480003,72.690002,71.940002,72,64.43428,8573000
5/16/2017,72.300003,72.410004,70.889999,71.370003,63.870487,7029200
5/17/2017,71.370003,71.639999,70.800003,70.989998,63.530399,6347700
5/18/2017,70.660004,71.919998,70.660004,71.43,63.924187,6073400
5/19/2017,71.769997,72.309998,71.559998,71.75,64.210541,7681800
5/22/2017,72.260002,72.379997,71.370003,71.889999,64.335838,6209800
5/23/2017,72.169998,72.309998,71.519997,72.089996,64.514824,4969900
5/24/2017,72.129997,72.279999,71.07,71.360001,63.861526,5257900
5/25/2017,71.269997,71.690002,68.940002,69.389999,62.09853,14649400
5/26/2017,69.5,70.349998,69,70.089996,62.724976,8960700
5/30/2017,69.220001,69.489998,68.650002,68.739998,61.95882,7263500
5/31/2017,68.309998,69.93,68.230003,69.589996,62.724972,8944200
6/1/2017,69.669998,70.190002,69.220001,69.779999,62.896244,5874800
6/2/2017,68.879997,69.120003,68.029999,68.959999,62.157116,8646500
6/5/2017,68.790001,69.5,68.629997,69.269997,62.436535,4670800
6/6/2017,69.139999,70.190002,68.709999,69.970001,63.067493,6588600
6/7/2017,69.550003,69.860001,67.919998,68.669998,61.895729,10227700
6/8/2017,68.669998,69.110001,68.230003,68.309998,61.571243,7739800
6/9/2017,68.349998,70.389999,68.32,69.68,62.806107,8141100
6/12/2017,70.25,70.690002,69.07,69.309998,62.472591,7999200
6/13/2017,69.309998,69.699997,68.839996,69.349998,62.508652,7882700
6/14/2017,69.059998,69.089996,67.339996,68.18,61.454082,10261300
6/15/2017,67.959999,68.080002,67,67.330002,60.687923,9465900
6/16/2017,67.599998,68.580002,67.050003,68.580002,61.81461,10179200
6/19/2017,68.529999,68.779999,67.900002,68.099998,61.381954,5037600
6/20/2017,67.050003,67.050003,66.040001,66.75,60.165142,9580000
6/21/2017,66.480003,66.489998,65.260002,65.470001,59.011414,11374200
6/22/2017,65.5,66.43,65.150002,65.370003,58.921284,8088000
6/23/2017,65.330002,66.160004,65.150002,65.93,59.426037,7402500
6/26/2017,66.110001,66.400002,65.529999,65.889999,59.38998,8042700
6/27/2017,65.650002,66.040001,65.129997,65.360001,58.912266,6498400
6/28/2017,65.440002,66.040001,65.099998,65.25,58.813114,6243500
6/29/2017,65.599998,66.300003,65.300003,65.379997,58.93029,7194800
6/30/2017,65.849998,66.110001,65.379997,65.839996,59.34491,7981900
7/3/2017,66.120003,67.400002,65.900002,66.970001,60.363441,5201400
7/5/2017,67.260002,67.260002,65.339996,65.739998,59.25478,8872900
7/6/2017,66.160004,66.5,65.019997,65.129997,58.704952,6503800
7/7/2017,64.989998,65.18,64.150002,65.080002,58.659885,6743400
7/10/2017,64.82,65.690002,64.779999,65.349998,58.903248,5873600
7/11/2017,65.349998,66.239998,65.07,65.790001,59.299843,5534000
7/12/2017,66.519997,66.599998,65.339996,65.580002,59.110561,6497600
7/13/2017,65.470001,66.540001,65.440002,66.489998,59.930786,6252300
